src	mt	src_ctx	tgt_ctx	src_ante	tgt_ante
Why have they joined together, shouting... disturbing the police and Carabinieri? 	 pourquoi se sont-ils 	 "The poet, Pablo Neruda, in Rome." Central Station. A group of rowdy people has inconvenienced the travellers... who crowd the station platforms every day. These protesters... are not drunkards... nor the usual hotheads who protest just for the fun of it. They are a group of intellectuals, writers and journalists. 	 "Le poète, Pablo Neruda, à Rome." Gare Centrale. Un groupe de gens turbulents ont incommodé les voyageurs... qui encombrent les quais de la gare tous les jours. Ces  manifestants ... ne sont pas des ivrognes... ni les têtes chaudes habituelles qui manifestent juste pour le plaisir. C'est un groupe d'intellectuels, d'écrivains et de journalistes. 	 None 	 manifestants 
They are able to talk to the girls they love... to make them fall in love, too, and marry them. 	 Ils sont capables de parler aux filles qu'ils 	 What am I supposed to do? No one else can help me. They're all fishermen here! What am I supposed to do? Fishermen fall in love, too! 	 Qu'est-ce que je suis supposé faire? Personne d'autre ne peut m'aider. Ce sont tous des pêcheurs ici! Qu'est-ce que je suis supposé faire? Les  pêcheurs  tombent aussi amoureux. 	 None 	 pêcheurs 
Then with the seven green tongues of seven green tigers... of seven green dogs of seven green seas... it caresses it, kisses it, wets it... and pounds on its chest, repeating its own name. 	 Puis avec les sept langues vertes de sept tigres verts... de sept chiens verts de sept mers vertes... elle 	 It spills over from time to time. It says yes, then no... then no. In blue, in foam, in a gallop... it says no, then no. It cannot be still. My name is sea, it repeats... striking a stone but not convincing it. 	 Elle se répand de temps en temps. Elle dit oui, puis non... puis non. En bleu, en écume, au galop... elle dit non, puis non. Elle ne peut pas rester tranquille. Mon nom est mer,  elle  répète... en frappant une pierre mais sans la convaincre. 	 None 	 elle 
The cops, they've set up a roadblock. They're checking cars. 	 Ils 	 How are you? - Oh, fabulous, fabulous. Of course, I'm a little tired... from running for ten hundred fuckin' miles because there was no fuckin' car waiting for me! What did I tell you if something went wrong? I told you to act like a drunk vagrant imbecile. - Is that too much of a fuckin' stretch? - I got nervous. The cops were all over the place. 	 Et toi ? Bien, mais fatigué d'avoir couru, vu que tu ne m'as pas attendu ! Si ça tournait mal, tu devais jouer l'idiot. C'est trop te demander ? ! J'ai eu peur. Il y avait des  flics  partout. 	 None 	 flics 
Well, I just don't think they should bother other people with them. 	 Ils 	 - Thank you, sweetheart. From what school are you trained, Dr. Wong? Freud? - Uh, nah. I don't go in for that dream stuff. - Really? You don't think patients should examine their dreams? 	 - Merci, trésor. Vous êtes de quelle école, Dr Wong ? Freud ? Non, je ne crois pas aux trucs sur les rêves. Vous ne pensez pas que les  patients  devraient analyser leurs rêves ? 	 None 	 patients 
But, they've moved out 	 Elles 	 This boy is so troublesome He screams suddenly all the time Come. I take you to the dormitory Come in This is your home You should have two room-mates 	 Un cas difficile. Parfois, il se met à hurler. Je te conduis aux chambres. Entre. C'est chez toi. Tu avais 2 autres  camarades . 	 None 	 camarades 
We have no peace, since they've moved in 	 Depuis qu'ils 	 You don't have Go home see your damn Mom Look what? What do you want to do? Shit! Walk that fucking stairs Last night, those idiots killed those guys 	 Garce, t'en n'as pas ? Retourne chez ta mère ! Tu regardes quoi ? Qu'est-ce que tu veux ? Merde, il faut encore se taper l'escalier. C'est ces  idiots  qui l'ont tuée. 	 None 	 idiots 
He hated to see it so dirty. 	 Il 	 He had a super bike. That Harley is too much! Stallone liked it right away. Don't touch it, don't. He was a frog from head to toe. Right away he took the French flag down. 	 Il avait une moto. Ça c'est une Harley! Elle a tout de suite plu à Stallone. Touche pas. Il était tellement français que dès son arrivée,  il  a enlevé le drapeau. 	 None 	 il 
The geese cackle, and then they stop. 	 Elles cacardent et puis elles 	 Be calm. Try to calm him. Oh. - Oh, hush. Hush, my child. The geese, they cackle. 	 Sois calme. Et calme-le. Nourrice... Chut... ma petite fille... Les  oies  cacardent. 	 None 	 oies 
And now they're turning you down for work like you're some kind of criminal? 	 Et maintenant, ils 	 Some way or another they found out I spent time in that mental hospital. Did you tell them you went into that hospital voluntary, for nightmares? "It's nothing personal," they said. Law says you can't work for the city or state, within the vicinity of children if you've spent time in a mental hospital or corrective institution. It's because of our government you were there. 	 Ils ont fini par savoir que j'avais fait un séjour à l'hôpital psychiatrique. Tu leur as dit que tu t'étais porté volontaire, à cause des cauchemars? Lls ont dit qu'ils n'avaient rien contre moi. La loi interdit de travailler pour la ville ou l'Etat, à proximité d'enfants, si on a fait un séjour en hôpital psychiatrique ou en prison. C'est à cause du  gouvernement  que tu y es allé. 	 None 	 gouvernement 
Let's see if it still works, you animal! 	 On verra s'il 	 And, Gary, don't tell people you had tequila with your coffee. You didn't have coffee this morning. Hi, I made it to New Haven. I'll be home tomorrow. If you get hungry, there's some leftover stew. 	 Au fait, Gary, ne dis pas que tu as mis une larme de tequila dans ton café. Tu n'as pas bu de café, ce matin. Salut, je suis arrivée à New Haven. Je serai rentrée demain. Si tu as faim, il reste du  ragoût  d'hier soir. 	 None 	 ragoût 
When I tried to touch it. it bit me. 	 Quand j'ai voulu le toucher, il 	 A few days ago, something happened to me. I was driving in New england and I hit an animal. - A wolf. - In New england? Are you sure? I'm positive. 	 Il y a quelques jours, une chose étrange m'est arrivée. Je roulais en Nouvelle Angleterre et j'ai heurté un animal. Mon Dieu ! - Un  loup . - En Nouvelle Angleterre ? Vraiment ? Absolument. 	 None 	 loup 
Yang Gao went to his rescue and they bashed him up. 	 Yang Gao s'est interposé et ils 	 If you don't move it, you're welcome to spend the night. Who's there? Someone's bashed Yang Gao. Fuck! On his way home he saw some kids from Liutiao bullying the retarded boy. They were making him eat cat shit and trying to take away his pole. 	 Si vous ne dégagez pas, vous serez les bienvenus pour passer la nuit en cellule. Qui est là ? Quelqu'un a frappé Yang Gao. Putain ! Sur le retour de l'école, il a vu des  gamins  de Liutiao en train de faire chier le petit attardé. Ils lui faisaient bouffer de la merde de chat, et ont essayé de lui piquer sa canne. 	 None 	 gamins 
If it's anyone's turf, it's ours. 	 Même si elle 	 Guoqing! Hear that? Uncle, Uncle, please let me go. What are you crying about? I was waiting for tickets, and they hauled me in. Look at you, you think half of Peking is your turf. 	 T'as entendu ça ? Mon oncle, s'il vous plaît, laissez-moi partir. Pourquoi tu pleures ? Qu'est-ce qu'il s'est passé ? J'attendais pour avoir des tickets, et ils m'ont embarqué. Regarde-toi ! Tu penses posséder la  moitié de Pékin  ? 	 None 	 moitié de Pékin 
It's steamed in the pot until it looks like a beehive which is then cut into pieces and stewed with ham in an old hen broth. 	 On le cuit à la vapeur jusqu'à ce qu'il 	 The kitchen is all yours. This is Tsu-An Tofu. Unfortunately, you don't have a bamboo steamer, but taste it anyway. - Where's the tofu? - The tofu is blended in with the chicken. 	 La cuisine est entièrement à toi. C'est du tofu Tsu-An. J'ai dû faire sans panier vapeur. Mais goûte quand même. - Où est le  tofu ? - Incorporé au poulet. 	 None 	 tofu 
We'll be able to live here because it brings us luck. 	 Nous pourrions vivre là parce qu'elle 	 They're not bothered about us. If you dare not say yes turn the page of your book, that will be my reply The problem, I think, is the house. So I'll go andl see the owner and talk to him so that he'll give me this house. It won't cost a lot. 	 Ils ne feront pas attention à nous. Si tu n'oses pas dire oui, tournes une page de ton livre. Ce sera ma réponse. Le problème, je crois, c'est la maison. J'irai voir le propriétaire je parlerai avec lui pour cette  maison . Elle ne coûtera pas beaucoup. 	 None 	 maison 
The students mistook Dick for me since they had bad eyesight And mistook everyone. 	 Ils le prirent pour moi, car ils 	 His plan was to use my twin brother, Dick, to turn The good students against me. PROFESSOR HOLT: All right, all you clones put on your trench Now get out of here. ADLAI (VOICEOVER): While I was sitting With my hand in the reactor core, Dick was duped by the bad guys to impersonate me and beat up On the good students. 	 Son plan était de se servir de mon frère Dick pour monter les étudiants contre moi. Allez, les clones, mettez vos impers pour cacher vos corps mutants et pour que les étudiants ne vous remarquent pas. Allez, en route. Pendant que j'étais assis la main dans le réacteur, Dick se faisait passer pour moi et tabassait les  étudiants . 	 None 	 étudiants 
And it was brand-new! 	 Et elle 	 - Three stitches. - It's not the cut! It's the car. I smashed the car. I wasn't supposed to drive it, and I took the keys and I smashed it up. 	 - Trois points. - C'est pas ça! C'est la voiture. J'ai abîmé la  voiture . Je devais pas m'en servir, et j'ai pris les clés... et je l'ai emboutie. 	 None 	 voiture 
- I told you, I don't know where it is! 	 - Je ne sais pas où il 	 - You find that chart? - I can't find it. - Well, find it! - I don't... Do you think I am deaf? I heard you. - Now find me the chart! 	 - Le dossier? - Je ne le trouve pas. Cherchez! Je ne suis pas sourd! - Trouvez ce  dossier ! 	 None 	 dossier 
Let it trail no longer, my ball and chain. 	 Qu' il 	 Yes! Come! Now! Enter the world. You tiny mediocrity. Petite void. Pallid horror. Cut the cord, cut the cord, cut the cord! I can feel it draining my energy! 	 Oui ! Fais ton entrée dans ce monde. Toi, minuscule médiocrité, petite nullité, blafarde horreur. Coupez le  cordon  ! Coupez-le ! Mon énergie s' étiole. 	 None 	 cordon 
...don't know they want yet that will then be thrown away and sit around polluting the planet. 	 Dont ils 	 And Lulu is like that, sweetie. You could show a little enthusiasm. Why should I be happy that you'll spend thousands of pounds... Hundreds of thousands of pounds. ...persuading people to buy some cheap bit of plastic that they don't even want? 	 Et Lulu est comme ça, mon chou. Tu pourrais montrer un peu d' enthousiasme. Tu vas dépenser des milliers de livres ... Des centaines de milliers de livres ! Pour faire acheter une camelote dont les  gens  n' ont que faire ! 	 None 	 gens 
How'd you think they used to wipe their bottoms? 	 Comment se torchaient-ils 	 Even on peasant's walls. We dragged these people screaming into the 20th century. We gave them all the mod cons. We gave them the non-squat toilet. Toilet tissue, darling. 	 Même chez les paysans. On a eu un mal fou à faire entrer ces  gens -là dans le 20ème siècle ! On leur a apporté tout le confort moderne. On leur a apporté la cuvette WC ... Le papier toilette ... 	 None 	 gens 
The last time we spoke it ended with a slammed door and me flving out. 	 La dernière fois, elle 	 But I was... Look, I was messed up. After being fired from four jobs, I had something to prove. So when I came to Babvlon 5, I asked her to come with me. She said no. We argued and I said a lot of stupid things. The kind that can haunt vou. 	 Mais j'étais... J'étais perturbé. Ça faisait 4 fois que j'étais viré. J'avais quelque chose à prouver. Quand je suis venu travailler ici, je lui ai demandé de me suivre.  Elle  a refusé. On s'est disputé et je lui ai dit des choses que je regrette. 	 None 	 Elle 
- How long till they hit this sector? 	 - Quand atteindront-ils 	 He caught me by surprise. He's tough. Breaking him won't be easy. What's happening out there? From what I see on the monitors, they've launched a full search. 	 Il m'a pris par surprise. C'est un dur. Ce sera pas facile de le faire céder. Où en est-on ici ? D'après ce que je vois sur les moniteurs,  ils  cherchent partout. 	 None 	 ils 
Then why did they surrender? 	 Alors pourquoi se sont-ils 	 - We were outnumbered and outgunned. We never had a chance. You say we could have won, but you weren't there. When I looked at those ships, I didn't just see my death... I saw the death of the human race! 	 - Ils étaient plus et mieux armés. On était perdus. Vous dites qu'on aurait pu gagner, vous n'étiez pas là. Quand j'ai vu ces  vaisseaux , je n'ai pas vu que ma mort... j'ai vu la mort de la race humaine ! 	 None 	 vaisseaux 
When the Darkness was defeated long ago, they scattered. 	 Quand les Ténèbres ont été vaincues jadis, elles 	 I find this very interesting. Go on. The forces of Darkness do not move openly. They work through others. Use others. 	 Je trouve ça très intéressant. Continuez. Les  forces  de l'Obscurité ne se manifestent pas ouvertement. elles oeuvrent à travers les autres. elles utilisent les autres. 	 None 	 forces 
Can't they help you pass calculus? 	 Elles 	 He and the boys accept me for who I am now. I don't know who has been duplicating my old crimes but I can assure you, gentlemen, Poison Ivy is dead. Don't tell me the great Dick Grayson is spending the night in for a change? Hey, we got finals coming up. But what about those cheerleaders I always see chasing you around? 	 Lui et les garçons m'acceptent telle que je suis. J'ignore qui a cloné mon style mais je vous assure, messieurs, que Poison Ivy est morte. Ne me dis pas que le grand Dick Grayson ne sort pas ce soir ? Les examens approchent. Et les  majorettes  qui sont toujours après toi ? 	 None 	 majorettes 
Wherever it breaks down, I'll open the doors and put on puppet shows. 	 Quand elle 	 - So what's left for me? I'll go to the rainforest to save trees. Maybe I'll practise prayer and abstinence. Save the poor souls in India. Maybe I'll buy a used van and drive across this great country of ours. 	 - Alors qu'est-ce qu'il me reste ? Je vais aller dans une forêt tropicale sauver des arbres. Peut-être que je vais me mettre à la prière et à l'abstinence. Sauver les pauvres âmes en Inde. Peut-être que je vais acheter une  fourgonnette  d'occasion et traverser notre beau pays. 	 None 	 fourgonnette 
Gosh, they got it here overnight." 	 " C'est dingue, ils 	 I hate to admit I kinda miss the little booger. Hey, you guys. Frank, this just arrived for you. Now, aren't you supposed to tip those overnight delivery guys? Certainly, you don't have to, but I always feel like, 	 Ça m'ennuie de le reconnaître, mais il commence à me manquer ce petit homme. Salut les gars. Frank, ce paquet vient d'arriver pour toi. Tu n'es pas censé donner un pourboire à ces  livreurs  de nuit ? Tu n'es sûrement pas obligé de le faire, mais je me dis toujours : 	 None 	 livreurs 
Whether the measures they take turn out to be appropriate is another matter. 	 Elles le seront. Reste à savoir si elles 	 How did Savage come by such a thing? Ah, I can rely on your discretion? Of course. I understand Savage sometimes frequented, well let's to say his affairs took him to a part in Rotherhithe inhabited mostly by Chinese and Lascars. He must have picked it up there. The authorities in Rotherhithe must be informed. They will be. 	 Comment Savage aurait-il contracté cette maladie ? - Puis-je compter sur votre discrétion ? - Bien entendu. Je crois qu'il fréquentait... Ses affaires le conduisaient souvent dans un coin du Rotherhithe, essentiellement peuplé de Chinois et d'Indiens. Il a dû l'attraper là-bas. Les  autorités  de ce quartier doivent être prévenues. 	 None 	 autorités 
I guess because they're jealous. 	 Sans doute parce qu'elles 	 - So, are you? - No. But my mom still thinks we are. She's, like, in denial or something. Why do girls have to tear each other down? 	 - Et toi ? - Non. Mais ma mère pense que tu y vas. Elle est genre, en dénégation. Pourquoi les  filles  doivent-elles toujours s'entre-déchirer ? 	 None 	 filles 
All those tiny lines around your eyes, it actually smoothes them. 	 Toutes ces petites rides autour de vos yeux, il 	 I didn't say you need it, I said... Never mind. Anyway, here. In case she changes her mind. Oh, this product is amazing! 	 Je n'ai pas dit ça... Laisse tomber ! Tenez ! Au cas où elle changerait d'avis. Ce  produit  est incroyable ! 	 None 	 produit 
And just as he gets up to her, down they go. 	 Et au moment où il s'approche d'elle... Hop! Elles 	 Don't believe him. So she's just sitting there, and then Pachyderm... You remember the 'Derm. He says, "I'm gonna go up to her." So he picks up the two pieces of pizza and... And they're steaming hot. They're burning his hands, so he's juggling. He's throwing them in the air. 	 Te bile pas. Donc elle est assise juste là, et Pachyderme, tu te souviens de lui, il dit: "Je vais aller la retrouver." Donc il saisit les deux  tranches  de pizza et... elles sont brûlantes. Il jongle, les lance en l'air. 	 None 	 tranches 
Sorry they took so long. 	 Elles 	 Thank you for your time. And if you'd like, stop by the shop one day. I have a number of suits that would look quite flattering on you. Two mugs of kanar, on the house. They're the drinks I promised when you first came here. 	 Merci de vous être dérangé. Passez me voir à la boutique un de ces jours. J'ai un certain nombre de costumes faits pour vous. Deux chopes de kanar, à mes frais. Ce sont les  boissons  que je vous avais promises. 	 None 	 boissons 
And if they die the future of Cardassia may die with them. 	 S'ils 	 - Then why didn't you? Cardassians don't involve outsiders in their internal politics, especially Bajorans. Being shot at by your own people goes a little beyond politics. We take our politics very seriously. If I don't get my students to safety, they'll be killed. 	 - Pourquoi l'avoir fait ? Les Cardassiens n'impliquent pas souvent les étrangers, encore moins les Bajorans. Une attaque armée de la part des vôtres dépasse un peu la politique. Nous prenons la politique au sérieux. Mettez mes  étudiants  à l'abri ou ils se feront tuer. 	 None 	 étudiants 
If she'd just given it to them, they probably wouldn't have hurt her. 	 Si elle leur avait tout donné, ils 	 She taught us all how to read. And she grew vegetables in hardpan to feed us. And she made sure we knew how to sing. It's important in a place like Camor. And then, one day she was attacked... ..by two men in the street in broad daylight for the food she was carrying. 	 Elle nous a tous appris à lire. Et elle cultivait des légumes dans du gravier pour nous nourrir. Elle tenait à ce que nous sachions chanter. C'est important dans un endroit comme Camor. Et un jour, elle a été attaquée par deux  hommes , dans la rue, en plein jour, pour la nourriture qu'elle transportait. 	 None 	 hommes 
So they killed her. 	 Alors ils 	 And she made sure we knew how to sing. It's important in a place like Camor. And then, one day she was attacked... ..by two men in the street in broad daylight for the food she was carrying. If she'd just given it to them, they probably wouldn't have hurt her. But she knew how important the food was to us. 	 Elle tenait à ce que nous sachions chanter. C'est important dans un endroit comme Camor. Et un jour, elle a été attaquée par deux  hommes , dans la rue, en plein jour, pour la nourriture qu'elle transportait. Si elle leur avait tout donné, ils ne lui aurait sûrement rien fait. Mais elle savait combien nous avions besoin de nourriture. 	 None 	 hommes 
It's not gonna be easy to figure out where it came from. 	 Ce ne sera pas facile de déterminer d'où elle 	 We'll get you some quarters. OK, let's go. Jason. Your being here, I hope it will give us the chance to get to know each other. We shut down the probe's power system to beam it aboard. 	 On t'a donné des quartiers. Bien, allons-y. Jason. Ton séjour ici nous donnera, j'espère, l'occasion de nous connaître. On a stoppé l'alimentation de la  sonde  pour la téléporter. 	 None 	 sonde 
Sometimes they can be very blase about their own art forms... because it doesn't... 	 Ils 	 Killed just about everything that walks or crawled... at one time or another. And I'm here to kill you, Little Bill, for what you did to Ned. You boys had better move away. [Eastwood]I've always felt that the western movie... is one of the fewart forms that Americans can lay claim to. Americans are somewhat masochistic, I must say, about that. 	 J'ai tué tout ce qui bouge, à un moment ou un autre. Et je suis là pour vous tuer, Little Bill. Pour ce que vous avez fait à Ned. Vos gars feraient mieux de s'écarter. Pour moi, le western est une des rares formes artistiques qui ait vraiment ses origines aux États-Unis. Les  Américains  sont assez masochistes. 	 None 	 Américains 
I have no peace, for they are in me. 	 Je ne suis jamais en paix... car ils 	 - When her deepest feelings for her husband are aroused, the heroine is overwhelmed by shame and guilt. She seems to be consumed by a malevolent spirit. [Whispering] Or if you will, by her inner demons. You were saying, "The cats..." They torment me. I awake in the night, and the tread of their feet whispers in my brain. 	 Quand elle éprouve du désir pour son mari, l'héroïne est submergée par la honte et se sent coupable. Elle semble consumée par un esprit malfaisant... ou si vous préférez, par ses démons intérieurs... Vous parliez de  chats ... Ils me tourmentent. Je me réveille la nuit, et j'entends leur pas léger murmurer dans ma tête. 	 None 	 chats 
And therefore, they don"t believe in punishment after... they are dead. 	 Et donc, ils 	 Get away from me! Chris! Violence has become, in my opinion, a defiinite, uh, point, in a script. It has a dramaturgical reason to be there. You see, I don"t think that people believe in the devil... with the horns and the forked tail. 	 Chris ! Va-t-en ! FRITZ LANG La violence est devenue une chose... importante, dans un scénario. Sa présence a une raison dramaturgique. Je ne pense pas que les  gens  croient au diable, avec ses cornes et sa queue fourchue. 	 None 	 gens 
In Part 3, as we continue our journey, I"d like to show you how they worked around more wholesome genres... and even, at times, big Hollywood star vehicles. 	 Dans la 3e partie de notre voyage, je vous montrerai comment ils 	 [Scorsese] At the end of Kiss Me Deadly, the duplicitous woman who stole this package from a secret government project... was like the wife of Lot who refused to heed the warnings. [Scorsese] Aldrich"s tale led to a few cryptic, threatening words: Manhattan Project, Los Alamos, Trinity. This time opening Pandora"s box... meant universal annihilation, the apocalypse. Of course, not all smugglers operated within film noir. 	 À la fin de En Quatrième Vitesse, la femme qui a volé cette caisse secrète au gouvernement est comme la femme de Lot qui ne peut prendre garde aux avertissements... La fable d'Aldrich s'achève sur des mots mystérieux, lourds de menaces : Projet Manhattan, Los Alamos, Trinity. Cette fois, ouvrir la boîte de Pandore signifie l'anéantissement total. Naturellement, tous les  contrebandiers  n'ont pas fait des Films Noirs. 	 None 	 contrebandiers 
But they hinted at the dangers inherent in conforming to society's conventions. 	 Au contraire, ils 	 Once she surrenders to the community's pressure, Jane Wyman is trapped. She's left suffocating in their world of pretense and illusions... far from Hudson's Walden Pond. Somehow, they've become the instruments of repression. Beneath the surface of the seemingly ideal setting... lay a sharp indictment of American small-town life. And heaven and nature sing Both Douglas Sirk and Nicholas Ray stayed within the rules. Their films had the required happy ending. 	 C'est toi qui en  a fait un p roblème de choix. C'est donc toi qui doit choisir. Très bien. C'est fini. Une fois qu'elle a cédé à la pression de son milieu, Jane Wyman est piégée. Cary ! La voilà condamnée à étouffer dans son univers de faux-semblants et d'illusions, loin du Walden Pond que lui propose Hudson.  Foyer < hoff> , famille, rang social ne suffisent plus à son bonheur. 	 None 	 a fait un p <hon>Foyer < Foyer < 
They can't understand you, can they? 	 Mais elles 	 See, its legs move to do kicks. Picking flowers, huh? Yes, to make medicine for your wounds. Why do you talk to them? I'm explaining to them why I am picking them off their roots. 	 Il donne des coups de pieds. Tu cueilles des  fleurs ? Pour préparer un remède à tes blessures. Pourquoi tu leur parles? Je leur explique pourquoi je les cueille. 	 None 	 fleurs 
They may not understand my words but they know my feelings. 	 Mes mots, peut-être pas... mais elles 	 Picking flowers, huh? Yes, to make medicine for your wounds. Why do you talk to them? I'm explaining to them why I am picking them off their roots. They can't understand you, can they? 	 Tu cueilles des  fleurs ? Pour préparer un remède à tes blessures. Pourquoi tu leur parles? Je leur explique pourquoi je les cueille. Mais elles ne te comprennent pas. 	 None 	 fleurs 
When the stars exploded billions of years ago... they formed everything that is this world. 	 En explosant, il y a des milliards d'années... elles 	 You will be all right. He's learning. Money. You're both stars. Don't forget. 	 C'est bien pour toi. Il apprend. L'argent. Vous êtes deux  étoiles . Ne l'oubliez pas. 	 None 	 étoiles 
Even as a little girl... they wanted me to think as a future career as a, you know... interior designer or lawyer or something like that. 	 Même quand j'étais enfant... ils 	 Getting these tapes from town to town so it would play continuously. Because it would have to play all the time, or it just wouldn't work. You know what? Not service oriented. Just an observation about Europe. My parents never really spoke of the possibility... of my falling in love or getting married or having children. 	 Trimballer les bandes de ville en ville... pour que ça passe sans arrêt. Sinon, c'est inutile ! Ils sont pas axés sur le service ! Simple remarque sur l'Europe. Mes  parents  ne m'envisageaient... jamais amoureuse, ou mariée ou mère de famille. 	 None 	 parents 
And they sit me down and give me this big rap on how... when people die, you never see them again, and how I'd imagined it. 	 Ils 	 And so I was doing that... and through the mist, I could see my grandmother. And she was just standing there, smiling at me. And I held it there for a long time... and I looked at her. And then finally, I let go of the nozzle, you know? And then I dropped the hose... and she disappeared. And so I run back inside and tell my parents. 	 En faisant ça... entre les gouttes, j'ai vu ma grand-mère. Elle était là, elle me souriait... et je restais comme ça. Je la regardais... et finalement, j'ai lâché l'embout. Le tuyau est tombé... et elle a disparu. Je l'ai raconté à mes  parents . 	 None 	 parents 
They love me more than anything... and I've been raised with all the freedom they fought for. 	 Ils m'aiment... et ils 	 It doesn't matter what generation you're born into. Look at my parents. They were angry, young May '68 people revolting against everything. The government, their conservative Catholic backgrounds... Then I was born, and my father became a successful architect. We traveled around the world while he built bridges... and, you know, towers and stuff. I mean, I really can't complain about anything. 	 C'est pas une question de génération. Mes  parents ... c'est la jeunesse en colère de mai 68, en révolte... contre le gouvernement, leur milieu conservateur... Et puis je suis née, mon père a réussi comme architecte. On voyageait, tandis que lui construisait... des ponts et des tours. Je n'ai pas à me plaindre. 	 None 	 parents 
Of course, they're too young. 	 - Bien sûr. Elles 	 You have Francis, I have Gerard. Each of us found her match. You don't know how happy you just made me. Let's not tell the girls. They wouldn't understand. 	 Vous avez Francis. Moi, j'ai Gérard. Chacune a trouvé chaussure à son pied. Comme je suis heureuse de tout ce que vous venez de dire. Ce qui compte, c'est de ne rien dire aux  filles . - Elles comprendraient pas. 	 None 	 filles 
They hope they will see what they want to see. 	 Elles espèrent voir ce qu'elles 	 The whole movie can be a dud... but you're just sitting there... waiting for Joan Crawford to put on her black cowboy shirt again. I'm going to kill you. I know... if I don't kill you first. Gay audiences were desperate to find something. I think all minority audiences watch movies with hope. 	 Johnny Guitar 1954 Johnny Guitar 1954 Le film peut être raté, Johnny Guitar 1954 Je vais vous tuer. Je sais. Si je ne tire pas la première. Le public homo désespère de trouver quelque chose. Toutes les  minorités  espèrent se voir à l'écran. 	 None 	 minorités 
I told ya they were too high and too wide. 	 The Broadway Melody 1929 The Broadway Melody 1929 Je te l'avais dit: Ils 	 They were all very prissy... these little skinny white men with little mustaches who would go like this. Girls, girls, girls! Be careful of my hats. We gotta get down on the stage. I don't care. I won't allow you to ruin them. 	 Ils étaient tous si précieux, ces petits blancs proprets, qui faisaient comme ça. Arrêtez, les filles ! The Broadway Melody 1929 Attention à mes  chapeaux  ! The Broadway Melody 1929 The Broadway Melody 1929 On doit entrer en scène. The Broadway Melody 1929 The Broadway Melody 1929 Mais vous les abîmez ! 	 None 	 chapeaux 
When they had the first kiss, it seemed there was an explosion in the theater. People panicked. There was pandemonium. 	 Quand ils 	 He was squirming all during the movie. He just couldn't sit still. And at the part in the movie... where the two men embrace and kiss... he jumped up and said... "You made a goddamn faggot movie"... and stalked out. The day it opened, I happened to be in Miami. We sat down, the movie started... and as the movie progressed... you sensed the audience growing more and more uncomfortable... with what was going on the screen. 	 Il s'est tortillé sur son siège pendant tout le film. Quand les deux  h éros  s'enlacent et s'embrassent, il a bondi en hurlant: "Vous avez fait un sale film de pédés !" Et il est sorti. J'ai vu le film à Miami le jour de sa sortie. Plus l'intrigue avançait, plus le public était mal à l'aise. La tension montait. 	 None 	 h éros 
- And why are they hiding? 	 - Et pourquoi ils 	 will you shut up? There's been an accident! The two little brats got away, Zee. But it's not over, is it? They're hiding. 	 Tu vas te taire ? Il y a un accident ! Les  petits vilains  s'en sont sortis. Mais ce n'est pas fini. Ils sont cachés. 	 None 	 petits vilains 
- Because they don't want to play. 	 - Parce qu'ils 	 There's been an accident! The two little brats got away, Zee. But it's not over, is it? They're hiding. - And why are they hiding? 	 Il y a un accident ! Les  petits vilains  s'en sont sortis. Mais ce n'est pas fini. Ils sont cachés. - Et pourquoi ils sont cachés ? 	 None 	 petits vilains 
So that's why they hide. 	 Donc, c'est pour ça qu'ils 	 The two little brats got away, Zee. But it's not over, is it? They're hiding. - And why are they hiding? - Because they don't want to play. 	 Les  petits vilains  s'en sont sortis. Mais ce n'est pas fini. Ils sont cachés. - Et pourquoi ils sont cachés ? - Parce qu'ils ne veulent pas jouer. 	 None 	 petits vilains 
All they want is to ride motorbikes. 	 Ce qu'elles 	 Of course, let's hope it doesn't rain. It won't rain. The weatherman announced a fall in temperature. Goodnight. These man-mad girls. 	 Bien sûr... Espérons qu'il ne pleuvra pas. Il ne pleuvra pas. La météo annonce une baisse de température. Bonsoir. Sur cette maison ne se posent que des  grues . 	 None 	 grues 
Look how beautiful they are. 	 Elles sont si belles 	 - At nine, you mean. - It's right by the bar. I couldn't get that one. - Is it nine ? - No, no. Don't worry about nine. Here, take this. Come on, girls. 	 - Près du bar. L'autre est prise. - Pas La 9 ? Ne vous en faites pas. Venez, les  filles . 	 None 	 filles 
Does it turn around and come back to Marge Street ? 	 Est-ce qu'il 	 A perfect fucking seven. Do you know where this bus turns around ? Pardon ? Does this bus stay in Glendale ? I don't know. 	 Vous êtes un parfait 54. Un putain de 54 ! Savez-vous où le bus fait demi-tour ? Pardon? Le  bus  reste dans Glendale ? Je ne sais pas. 	 None 	 bus 
All they ask of you is simple justice for their unbearable loss. 	 Elles 	 This man shot Walter Delacroix two times in the back of his head, then raped Hope Percy and stabbed her 17 times before shooting' this sweet girl two times in the back of the head. These families will never see their children graduate from college. They will never attend their wedding. They will never have Christmas with them again. There will be no grandchildren. 	 Il a tué Walter Delacroix de deux balles dans la nuque. Il a violé et poignardé 17 fois Hope Percy avant de la tuer de deux balles dans la nuque. Ces  familles  ne verront pas leurs enfants faire leurs études. Elles n'assisteront pas à leur mariage. Elles ne passeront plus Noël avec eux. Il n'y aura pas de petits-enfants. 	 None 	 familles 
